playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated
36,27,8.0,3.0,38101,Erling Haaland,Erling,Haaland,2000-07-21,Norway,Offence,,,2026-06-01T11:16:30Z,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z
38,22,1.0,8.0,138230,Thiago,Igor Thiago,Thiago,2001-06-26,Brazil,Offence,,,2026-06-14T00:10:45Z,402,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png,Braemar Road Brentford TW8 0NT,http://www.brentfordfc.co.uk,1889,Red / White / Black,Griffin Park,2022-04-03T16:24:00Z
37,17,4.0,1.0,4417,Antoine Semenyo,Antoine,Semenyo,2000-01-07,Ghana,Offence,,,2026-06-01T11:16:29Z,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,SportCity Manchester M11 3FF,https://www.mancity.com,1880,Sky Blue / White,Etihad Stadium,2022-02-10T19:48:37Z
37,16,3.0,,4444,Ollie Watkins,Ollie,Watkins,1995-12-30,England,Offence,,,2026-06-01T11:16:29Z,58,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png,Villa Park Birmingham B6 6HE,http://www.avfc.co.uk,1872,Claret / Sky Blue,Villa Park,2022-04-03T16:22:14Z
35,15,5.0,,103125,João Pedro,,João Pedro,2001-09-26,Brazil,Offence,,,2026-07-15T09:25:42Z,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,Fulham Road London SW6 1HS,http://www.chelseafc.com,1905,Royal Blue / White,Stamford Bridge,2022-02-10T19:24:40Z
37,15,5.0,1.0,4091,Morgan Gibbs-White,Morgan,Gibbs-White,2000-01-27,England,Midfield,,,2026-07-15T09:25:44Z,351,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png,"Pavilion Road, West Bridgeford Nottingham NG2 5GJ",http://www.nottinghamforest.co.uk,1865,Red / White,The City Ground,2022-07-26T17:53:21Z
36,14,1.0,3.0,8279,Viktor Gyökeres,Viktor,Gyökeres,1998-06-04,Sweden,Offence,,9.0,2026-06-01T11:16:31Z,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,75 Drayton Park London N5 1BU,http://www.arsenal.com,1886,Red / White,Emirates Stadium,2022-02-10T19:48:56Z
35,14,1.0,4.0,7839,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,1997-03-16,England,Offence,,,2026-07-15T09:25:44Z,341,Leeds United FC,Leeds United,LEE,https://crests.football-data.org/341.png,Elland Road Leeds LS11 0ES,http://www.leedsunited.com,1904,White / Blue,Elland Road,2022-02-10T19:27:14Z
37,13,1.0,1.0,3328,Danny Welbeck,Danny,Welbeck,1990-11-26,England,Offence,,,2026-07-15T09:25:43Z,397,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png,44 North Road Brighton & Hove BN1 1YR,http://www.seagulls.co.uk,1898,Blue / White,The American Express Community Stadium,2024-07-29T17:18:23Z
38,13,,2.0,204241,Eli Kroupi,Eli,Kroupi,2006-06-23,France,Offence,,,2026-07-15T09:25:44Z,1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png,"Dean Court, Kings Park Bournemouth BH7 7AF",http://www.afcb.co.uk,1890,Red / Black,Vitality Stadium,2024-08-29T08:54:34Z
